Time,Open,High,Low,Close,Volume
2023-10-17T05:00:00+0000,0.6392,0.6406,0.63735,0.6393,63
2023-10-18T05:00:00+0000,0.63915,0.64245,0.63645,0.63715,46
2023-10-19T05:00:00+0000,0.6372,0.6388,0.6331,0.63605,144
2023-10-20T05:00:00+0000,0.63575,0.63575,0.6331,0.63465,73
2023-10-23T05:00:00+0000,0.6352,0.6379,0.63295,0.63765,109
2023-10-24T05:00:00+0000,0.6367,0.6406,0.6367,0.6389,54
2023-10-25T05:00:00+0000,0.63855,0.64255,0.63375,0.63385,230
2023-10-26T05:00:00+0000,0.6334,0.636,0.63,0.6358,75
2023-10-27T05:00:00+0000,0.6356,0.6394,0.63545,0.6364,46
2023-10-30T05:00:00+0000,0.63665,0.641,0.6363,0.6404,57
2023-10-31T05:00:00+0000,0.63975,0.64,0.6344,0.637,81
2023-11-01T05:00:00+0000,0.6362,0.6425,0.6352,0.64055,120
2023-11-02T05:00:00+0000,0.6427,0.6481,0.6427,0.64575,190
2023-11-03T05:00:00+0000,0.646,0.65445,0.6448,0.65435,146
2023-11-06T06:00:00+0000,0.65405,0.65485,0.65125,0.65175,95
2023-11-07T06:00:00+0000,0.65175,0.6528,0.643,0.6457,242
2023-11-08T06:00:00+0000,0.64585,0.6472,0.64245,0.64245,215
2023-11-09T06:00:00+0000,0.6431,0.645,0.6388,0.6393,139
2023-11-10T06:00:00+0000,0.6387,0.639,0.6363,0.63795,210
2023-11-13T06:00:00+0000,0.6383,0.64085,0.63775,0.64045,75
2023-11-14T06:00:00+0000,0.64015,0.6536,0.635,0.6532,475
2023-11-15T06:00:00+0000,0.6529,0.6565,0.65125,0.65335,479
2023-11-16T06:00:00+0000,0.65325,0.65405,0.64845,0.6494,325
2023-11-17T06:00:00+0000,0.6493,0.6539,0.64755,0.65325,128
2023-11-20T06:00:00+0000,0.65405,0.65875,0.65245,0.65845,400
2023-11-21T06:00:00+0000,0.6586,0.6611,0.65685,0.658,382
2023-11-22T06:00:00+0000,0.659,0.659,0.6545,0.6563,414
2023-11-24T06:00:00+0000,0.65645,0.6612,0.65635,0.6611,683
2023-11-27T06:00:00+0000,0.6602,0.66335,0.659,0.663,1958
2023-11-28T06:00:00+0000,0.6627,0.66865,0.66185,0.6674,1402
2023-11-29T06:00:00+0000,0.66765,0.66935,0.6629,0.66445,877
2023-11-30T06:00:00+0000,0.66385,0.6669,0.6593,0.66295,897
2023-12-01T06:00:00+0000,0.663,0.66965,0.662,0.6692,1361
2023-12-04T06:00:00+0000,0.66985,0.67095,0.66255,0.6638,2052
2023-12-05T06:00:00+0000,0.66395,0.66415,0.6565,0.6572,2870
2023-12-06T06:00:00+0000,0.6574,0.6618,0.65685,0.65755,2837
2023-12-07T06:00:00+0000,0.6569,0.664,0.6546,0.66235,20090
2023-12-08T06:00:00+0000,0.66165,0.66395,0.6578,0.66,5989
2023-12-11T06:00:00+0000,0.65975,0.66025,0.65695,0.6586,27609
2023-12-12T06:00:00+0000,0.65855,0.6632,0.6559,0.65745,112339
2023-12-13T06:00:00+0000,0.65775,0.66935,0.6561,0.6685,53864
2023-12-14T06:00:00+0000,0.6679,0.67475,0.66775,0.6716,86354
2023-12-15T06:00:00+0000,0.6716,0.67475,0.66825,0.67255,101976
2023-12-18T06:00:00+0000,0.67205,0.6754,0.67095,0.67205,65160
2023-12-19T06:00:00+0000,0.6723,0.67935,0.6719,0.67785,76260
2023-12-20T06:00:00+0000,0.67815,0.6798,0.6743,0.67655,94758
2023-12-21T06:00:00+0000,0.6752,0.68215,0.675,0.68165,100832
2023-12-22T06:00:00+0000,0.68165,0.6843,0.6791,0.68205,76621
2023-12-26T06:00:00+0000,0.68185,0.6845,0.68155,0.68415,27736
2023-12-27T06:00:00+0000,0.68415,0.68695,0.68355,0.68585,60739
2023-12-28T06:00:00+0000,0.6863,0.68875,0.68405,0.68505,85434
2023-12-29T06:00:00+0000,0.6842,0.68625,0.67975,0.68305,89814
2024-01-02T06:00:00+0000,0.68235,0.68555,0.67725,0.67775,93048
2024-01-03T06:00:00+0000,0.678,0.6787,0.67185,0.6746,102159
2024-01-04T06:00:00+0000,0.6746,0.6775,0.6712,0.67185,76089
2024-01-05T06:00:00+0000,0.6719,0.67625,0.6655,0.67285,125662
2024-01-08T06:00:00+0000,0.67275,0.6749,0.6692,0.67375,85783
2024-01-09T06:00:00+0000,0.6734,0.6749,0.66915,0.6698,80533
2024-01-10T06:00:00+0000,0.67,0.6727,0.66905,0.67145,66279
2024-01-11T06:00:00+0000,0.6714,0.6749,0.666,0.67005,119717
2024-01-12T06:00:00+0000,0.67005,0.6742,0.6691,0.67005,98456
2024-01-16T06:00:00+0000,0.67,0.67175,0.6589,0.65975,187887
2024-01-17T06:00:00+0000,0.65995,0.6607,0.65375,0.6555,121356
2024-01-18T06:00:00+0000,0.65645,0.65865,0.65375,0.65715,104028
2024-01-19T06:00:00+0000,0.65855,0.6613,0.6577,0.66075,81999
2024-01-22T06:00:00+0000,0.66085,0.66255,0.65775,0.65835,67575
2024-01-23T06:00:00+0000,0.65815,0.66235,0.65625,0.6582,87079
2024-01-24T06:00:00+0000,0.6591,0.6631,0.65755,0.65905,99915
2024-01-25T06:00:00+0000,0.65865,0.662,0.65765,0.65915,85416
2024-01-26T06:00:00+0000,0.6595,0.662,0.6583,0.6592,60763
2024-01-29T06:00:00+0000,0.6584,0.6626,0.658,0.6608,65732
2024-01-30T06:00:00+0000,0.6622,0.66345,0.65845,0.66145,76203
2024-01-31T06:00:00+0000,0.661,0.6633,0.6561,0.6605,178084
